bvid,word,cnt
BV1144y1q7ve,卧槽,8
BV1144y1q7ve,哈哈哈,6
BV1144y1q7ve,好听,5
BV1144y1q7ve,哈哈哈哈,4
BV1144y1q7ve,妈咪,4
BV1144y1q7ve,哈哈,3
BV1144y1q7ve,灵魂,3
BV1144y1q7ve,画手,3
BV1144y1q7ve,妈妈,3
BV1144y1q7ve,好好,3
BV1144y1q7ve,男声,2
BV1144y1q7ve,有点,2
BV1144y1q7ve,青州,2
BV1144y1q7ve,呜呜,2
BV1144y1q7ve,厉害,2
BV1144y1q7ve,麻麻,1
BV1144y1q7ve,绝绝子,1
BV1144y1q7ve,原谅,1
BV1144y1q7ve,妈呀,1
BV1144y1q7ve,一家子,1
BV1144y1q7ve,神仙,1
BV1144y1q7ve,鸡皮疙瘩,1
BV1144y1q7ve,好久,1
BV1144y1q7ve,画风,1
BV1144y1q7ve,起来,1
BV1144y1q7ve,好多,1
BV1144y1q7ve,同乡,1
BV1144y1q7ve,啊啊啊,1
BV1144y1q7ve,你币,1
BV1144y1q7ve,除了,1
BV1144y1q7ve,跑调,1
BV1144y1q7ve,声音,1
BV1144y1q7ve,潍坊,1
BV1144y1q7ve,瘦金,1
BV1144y1q7ve,新人,1
BV1144y1q7ve,多问,1
BV1144y1q7ve,一句,1
BV1144y1q7ve,老区,1
BV1144y1q7ve,up,1
BV1144y1q7ve,主嘛,1
BV1144y1q7ve,稚嫩,1
BV1144y1q7ve,动画,1
BV1144y1q7ve,WC,1
BV1144y1q7ve,这画,1
BV1144y1q7ve,出戏,1
BV1144y1q7ve,太绝,1
BV1144y1q7ve,后面,1
BV1144y1q7ve,还有,1
BV1144y1q7ve,个人,1
BV1144y1q7ve,确实,1
BV1144y1q7ve,走马,1
BV1144y1q7ve,直接,1
BV1144y1q7ve,哇赛,1
BV1144y1q7ve,期待,1
BV1144y1q7zT,好看,10
BV1144y1q7zT,1111,3
BV1144y1q7zT,11111,3
BV1144y1q7zT,哈哈哈,3
BV1144y1q7zT,撕掉,3
BV1144y1q7zT,111111,2
BV1144y1q7zT,应该,2
BV1144y1q7zT,觉得,2
BV1144y1q7zT,女生,2
BV1144y1q7zT,拳头,2
BV1144y1q7zT,视频,2
BV1144y1q7zT,32222,1
BV1144y1q7zT,贴满,1
BV1144y1q7zT,请扣,1
BV1144y1q7zT,眼珠子,1
BV1144y1q7zT,男朋友,1
BV1144y1q7zT,想法,1
BV1144y1q7zT,尊重,1
BV1144y1q7zT,无关紧要,1
BV1144y1q7zT,哈哈哈哈,1
BV1144y1q7zT,114514,1
BV1144y1q7zT,333333,1
BV1144y1q7zT,12112,1
BV1144y1q7zT,11111411,1
BV1144y1q7zT,可怕,1
BV1144y1q7zT,本人,1
BV1144y1q7zT,非常,1
BV1144y1q7zT,贴纸,1
BV1144y1q7zT,贴点,1
BV1144y1q7zT,2222222,1
BV1144y1q7zT,不是,1
BV1144y1q7zT,但是,1
BV1144y1q7zT,一半,1
